Date,1 USD -> LKR,1 LKR -> USD
2025-04-23,299.7194,0.0033
2025-04-22,299.2328,0.0033
2025-04-21,299.0786,0.0033
2025-04-17,298.6186,0.0033
2025-04-16,298.1380,0.0034
2025-04-11,298.8721,0.0033
2025-04-10,301.2049,0.0033
2025-04-09,298.6051,0.0033
2025-04-08,297.5237,0.0034
2025-04-07,296.7552,0.0034
2025-04-04,296.8985,0.0034
2025-04-03,296.0638,0.0034
2025-04-02,296.1931,0.0034
2025-04-01,296.3198,0.0034
2025-03-28,296.3472,0.0034
2025-03-27,296.4517,0.0034
2025-03-26,296.6087,0.0034
2025-03-25,296.7237,0.0034
2025-03-24,296.5901,0.0034
2025-03-21,296.6034,0.0034
2025-03-20,296.2133,0.0034
2025-03-19,296.0400,0.0034
2025-03-18,296.2915,0.0034
2025-03-17,295.8118,0.0034
2025-03-14,295.4196,0.0034
2025-03-12,295.5014,0.0034
2025-03-11,295.4696,0.0034
2025-03-10,295.4680,0.0034
2025-03-07,295.5809,0.0034
2025-03-06,295.2296,0.0034
2025-03-05,295.2061,0.0034
2025-03-04,295.3470,0.0034
2025-03-03,295.3680,0.0034
2025-02-28,295.4981,0.0034
2025-02-27,295.7164,0.0034
2025-02-25,295.7490,0.0034
2025-02-24,295.8829,0.0034
2025-02-21,296.4754,0.0034
2025-02-20,296.6271,0.0034
2025-02-19,295.8921,0.0034
2025-02-18,295.3468,0.0034
2025-02-17,295.5232,0.0034
2025-02-14,296.5560,0.0034
2025-02-13,297.0173,0.0034
2025-02-11,297.5176,0.0034
2025-02-10,297.6589,0.0034
2025-02-07,298.4908,0.0034
2025-02-06,298.9288,0.0033
2025-02-05,299.1413,0.0033
2025-02-03,297.6367,0.0034
2025-01-31,297.5797,0.0034
2025-01-30,296.5464,0.0034
2025-01-29,297.8990,0.0034
2025-01-28,298.4691,0.0034
2025-01-27,298.4110,0.0034
2025-01-24,298.8605,0.0033
2025-01-23,298.6584,0.0033
2025-01-22,297.4952,0.0034
2025-01-21,296.8545,0.0034
2025-01-20,296.6599,0.0034
2025-01-17,296.5135,0.0034
2025-01-16,295.2210,0.0034
2025-01-15,294.5963,0.0034
2025-01-10,295.5931,0.0034
2025-01-09,296.0915,0.0034
2025-01-08,296.1507,0.0034
2025-01-07,294.9314,0.0034
2025-01-06,293.5577,0.0034
2025-01-03,293.2654,0.0034
2025-01-02,293.4147,0.0034
2025-01-01,293.0027,0.0034
2024-12-31,292.5833,0.0034
2024-12-30,292.7528,0.0034
2024-12-27,294.3343,0.0034
2024-12-26,296.4816,0.0034
2024-12-24,295.6109,0.0034
2024-12-23,293.1667,0.0034
2024-12-20,292.6811,0.0034
2024-12-19,291.2826,0.0034
2024-12-18,290.9406,0.0034
2024-12-17,290.7605,0.0034
2024-12-16,290.3230,0.0034
2024-12-13,290.2596,0.0034
2024-12-12,290.2963,0.0034
2024-12-11,290.3096,0.0034
2024-12-10,290.3607,0.0034
2024-12-09,290.3415,0.0034
