Date,ExchangeRate,HeadlineInflation,FuelPrice(Diesel),Beans,Carrot,Cabbage,Tomato,Brinjal,Pumpkin,Snake gourd,Green Chilli,Red Onion (Local),Potato (Local),Red Dhal,Banana (Sour),Papaw,EconIndex
2024-01-01,323.9902,200.7,358.0,450.0,550.0,450.0,400.0,700.0,150.0,200.0,1250.0,350.0,353.0,300.0,200.0,120.0,0.95908788029201
2024-01-02,323.1861,200.7,358.0,550.0,700.0,500.0,600.0,450.0,150.0,200.0,1300.0,500.0,360.0,300.0,200.0,180.0,0.9573253891808907
2024-01-03,321.12,200.7,358.0,500.0,700.0,450.0,600.0,550.0,150.0,200.0,1300.0,500.0,363.0,300.0,200.0,180.0,0.9527967448770941
2024-01-04,322.2375,200.7,358.0,450.0,750.0,400.0,550.0,600.0,150.0,180.0,1100.0,500.0,358.0,300.0,200.0,180.0,0.95524617133733
2024-01-05,322.4275,200.7,358.0,450.0,700.0,430.0,550.0,550.0,150.0,180.0,1000.0,500.0,330.0,300.0,200.0,180.0,0.9556626286325821
2024-01-06,322.5,200.7,358.0,450.0,700.0,430.0,550.0,550.0,150.0,180.0,1000.0,500.0,330.0,300.0,200.0,180.0,0.9558215399689289
2024-01-07,322.5,200.7,358.0,450.0,700.0,430.0,550.0,550.0,150.0,180.0,1000.0,500.0,330.0,300.0,200.0,180.0,0.9558215399689289
2024-01-08,322.4406,200.7,358.0,500.0,875.0,430.0,350.0,400.0,130.0,150.0,900.0,500.0,340.0,300.0,200.0,180.0,0.9556913422671499
2024-01-09,322.4136,200.7,358.0,500.0,850.0,430.0,350.0,400.0,130.0,150.0,900.0,350.0,340.0,300.0,280.0,180.0,0.9556321614936137
2024-01-10,322.6356,200.7,358.0,500.0,900.0,450.0,350.0,450.0,130.0,200.0,1200.0,350.0,330.0,300.0,180.0,180.0,0.9561187589649087
2024-01-11,322.83,200.7,358.0,600.0,900.0,500.0,350.0,450.0,130.0,220.0,1000.0,350.0,330.0,300.0,180.0,180.0,0.9565448605343674
2024-01-12,322.6884,200.7,358.0,600.0,900.0,500.0,450.0,400.0,130.0,220.0,900.0,350.0,330.0,298.0,180.0,150.0,0.9562344902553791
2024-01-13,322.0,200.7,358.0,600.0,900.0,500.0,450.0,400.0,130.0,220.0,900.0,350.0,330.0,298.0,180.0,150.0,0.954725599718264
2024-01-14,322.0,200.7,358.0,600.0,900.0,500.0,450.0,400.0,130.0,220.0,900.0,350.0,330.0,298.0,180.0,150.0,0.954725599718264
2024-01-15,321.99,200.7,358.0,600.0,900.0,500.0,450.0,400.0,130.0,220.0,900.0,350.0,330.0,298.0,180.0,150.0,0.9547036809132509
2024-01-16,322.2038,200.7,358.0,1100.0,1800.0,700.0,300.0,800.0,130.0,330.0,900.0,450.0,330.0,300.0,160.0,150.0,0.9551723049644353
2024-01-17,321.7534,200.7,358.0,1000.0,2000.0,700.0,350.0,750.0,150.0,330.0,1000.0,450.0,333.0,300.0,160.0,150.0,0.9541850819866361
2024-01-18,321.2243,200.7,358.0,850.0,1900.0,700.0,350.0,600.0,150.0,350.0,1000.0,450.0,340.0,298.0,160.0,150.0,0.9530253580133831
2024-01-19,320.8826,200.7,358.0,800.0,1800.0,650.0,300.0,500.0,150.0,380.0,900.0,450.0,333.0,297.0,160.0,150.0,0.9522763924460788
2024-01-20,320.1,200.7,358.0,800.0,1800.0,650.0,300.0,500.0,150.0,380.0,900.0,450.0,333.0,297.0,160.0,150.0,0.9505610267657378
2024-01-21,320.1,200.7,358.0,800.0,1800.0,650.0,300.0,500.0,150.0,380.0,900.0,450.0,333.0,297.0,160.0,150.0,0.9505610267657378
