Date,Vegetable,Actual,Predicted
2025-01-18,Carrot,250.0,249.62091608816186
2025-01-19,Carrot,250.0,248.29541310736374
2025-01-20,Carrot,250.0,249.31032637831117
2025-01-21,Carrot,200.0,240.88303477159832
2025-01-22,Carrot,250.0,200.34368296634884
2025-01-23,Carrot,250.0,268.5182205794106
2025-01-24,Carrot,280.0,254.34287784119562
2025-01-25,Carrot,280.0,276.71219987035585
2025-01-26,Carrot,280.0,283.032840788729
2025-01-27,Carrot,300.0,286.6229770401937
2025-01-28,Carrot,300.0,288.1150406684614
2025-01-29,Carrot,300.0,293.4918502880557
2025-01-30,Carrot,280.0,300.74632749307796
2025-01-31,Carrot,300.0,279.01393678669365
2025-02-01,Carrot,300.0,304.4479916619083
2025-02-02,Carrot,300.0,296.3094431737517
2025-02-03,Carrot,300.0,301.55458061294894
2025-02-04,Carrot,300.0,304.33367362695134
2025-02-05,Carrot,450.0,303.62003809359385
2025-02-06,Carrot,450.0,444.2237318868336
2025-02-07,Carrot,500.0,437.16042158568575
2025-02-08,Carrot,500.0,487.72249372789906
2025-02-09,Carrot,500.0,484.1050885292125
2025-02-10,Carrot,650.0,480.0720607385992
2025-02-11,Carrot,700.0,607.6900106813274
2025-02-12,Carrot,700.0,681.1877859353823
2025-02-13,Carrot,650.0,680.949897880585
2025-02-14,Carrot,600.0,624.1032235396866
2025-02-15,Carrot,600.0,587.1071404306443
2025-02-16,Carrot,600.0,562.0329751205182
2025-02-17,Carrot,800.0,593.0813337674733
2025-02-18,Carrot,800.0,814.6931043262423
2025-02-19,Carrot,600.0,791.704449852852
2025-02-20,Carrot,600.0,585.6399325602457
2025-02-21,Carrot,600.0,589.8438125382223
2025-02-22,Carrot,600.0,591.9960144165301
2025-02-23,Carrot,600.0,564.5144074650256
2025-02-24,Carrot,1000.0,615.0640851292784
2025-02-25,Carrot,900.0,1053.1451486460994
2025-02-26,Carrot,900.0,850.8203203596977
2025-02-27,Carrot,600.0,840.4043419255103
2025-02-28,Carrot,800.0,587.4319828785693
2025-03-01,Carrot,800.0,781.8159228241701
2025-03-02,Carrot,800.0,721.9888519480604
2025-03-03,Carrot,700.0,819.6899079459693
2025-03-04,Carrot,700.0,745.7460234791868
2025-03-05,Carrot,600.0,720.7503917420755
2025-03-06,Carrot,700.0,558.878237184332
2025-03-07,Carrot,700.0,677.7643256002253
2025-03-08,Carrot,700.0,738.0198674902335
2025-03-09,Carrot,700.0,703.7313178277911
2025-03-10,Carrot,650.0,694.1671530388948
2025-03-11,Carrot,600.0,647.5176712431775
2025-03-12,Carrot,650.0,578.8953474715947
2025-03-13,Carrot,650.0,642.7441016384352
2025-03-14,Carrot,650.0,662.9634438540214
2025-03-15,Carrot,650.0,642.4962215151771
2025-03-16,Carrot,650.0,656.5754743011274
2025-03-17,Carrot,500.0,650.2916808695477
2025-03-18,Carrot,500.0,479.7700878342288
2025-03-19,Carrot,500.0,504.734039222429
2025-03-20,Carrot,400.0,517.5135667673014
2025-03-21,Carrot,350.0,406.0109649521706
2025-03-22,Carrot,350.0,369.83971342141274
2025-03-23,Carrot,350.0,396.17525689334656
2025-03-24,Carrot,700.0,359.0720610048607
2025-03-25,Carrot,650.0,690.6571518293904
2025-03-26,Carrot,600.0,655.5086205055433
2025-03-27,Carrot,600.0,578.3108639592498
2025-03-28,Carrot,550.0,570.3950259390409
2025-03-29,Carrot,550.0,522.5527554157368
2025-03-30,Carrot,550.0,480.1954351004383
2025-03-31,Carrot,550.0,570.6608094977512
2025-04-01,Carrot,500.0,595.5137844325243
2025-04-02,Carrot,500.0,479.4897390635442
2025-04-03,Carrot,400.0,509.0143498943061
2025-04-04,Carrot,450.0,405.11050832403333
2025-04-05,Carrot,450.0,452.92842256263236
2025-04-06,Carrot,450.0,460.4485409440194
2025-04-07,Carrot,350.0,461.56723619610966
2025-04-08,Carrot,350.0,355.2789589600438
2025-04-09,Carrot,350.0,370.1292013592174
2025-04-10,Carrot,300.0,348.909755780337
2025-04-11,Carrot,400.0,298.1674269008847
2025-04-12,Carrot,400.0,421.51012029368707
2025-04-13,Carrot,400.0,417.707002962847
2025-04-14,Carrot,400.0,392.79570135441423
2025-04-15,Carrot,400.0,387.6288381073198
2025-04-16,Carrot,400.0,406.81102182662306
2025-04-17,Carrot,450.0,376.3650465298818
2025-04-18,Carrot,450.0,444.8481143718284
2025-04-19,Carrot,450.0,457.7681576446664
2025-04-20,Carrot,450.0,439.51707129543473
2025-04-21,Carrot,350.0,445.38432853949195
2025-04-22,Carrot,450.0,345.9450903483853
2025-04-23,Carrot,450.0,443.86019872078225
2025-01-18,Brinjal,250.0,248.70016409950918
2025-01-19,Brinjal,250.0,255.507288266395
2025-01-20,Brinjal,300.0,255.86486882589713
2025-01-21,Brinjal,350.0,304.07660387186684
2025-01-22,Brinjal,300.0,347.44002821150275
2025-01-23,Brinjal,250.0,292.6416336554807
2025-01-24,Brinjal,300.0,250.12674783502152
2025-01-25,Brinjal,300.0,301.55388045684293
2025-01-26,Brinjal,300.0,302.42140052540975
2025-01-27,Brinjal,300.0,306.3962138814643
2025-01-28,Brinjal,350.0,302.0889891896811
2025-01-29,Brinjal,350.0,341.3661608046143
2025-01-30,Brinjal,330.0,341.77291098021277
2025-01-31,Brinjal,330.0,324.8618598835367
2025-02-01,Brinjal,330.0,329.1912139859717
2025-02-02,Brinjal,330.0,330.7257001931372
2025-02-03,Brinjal,300.0,332.0918890716173
2025-02-04,Brinjal,300.0,304.4161070892767
2025-02-05,Brinjal,300.0,302.2050345652796
2025-02-06,Brinjal,400.0,300.9040963218394
2025-02-07,Brinjal,400.0,390.81611322492023
2025-02-08,Brinjal,400.0,385.7448732362601
2025-02-09,Brinjal,400.0,384.4914787246829
2025-02-10,Brinjal,550.0,388.8626148610764
2025-02-11,Brinjal,550.0,530.0333492314229
2025-02-12,Brinjal,550.0,531.5586763090155
2025-02-13,Brinjal,550.0,534.2342535105771
2025-02-14,Brinjal,550.0,537.066587404042
2025-02-15,Brinjal,550.0,536.9756396525848
2025-02-16,Brinjal,550.0,545.7839557306929
2025-02-17,Brinjal,500.0,546.8007387522629
2025-02-18,Brinjal,500.0,494.60836041558923
2025-02-19,Brinjal,500.0,494.07810711241814
