Item,Unit,Yesterday Price,Today Price,Date
Beans,Rs./kg,400.00,400.00,22 April 2025
Carrot,Rs./kg,350.00,450.00,22 April 2025
Cabbage,Rs./kg,200.00,250.00,22 April 2025
Tomato,Rs./kg,400.00,550.00,22 April 2025
Brinjal,Rs./kg,400.00,350.00,22 April 2025
Pumpkin,Rs./kg,160.00,180.00,22 April 2025
Snake gourd,Rs./kg,250.00,300.00,22 April 2025
Green Chilli,Rs./kg,500.00,350.00,22 April 2025
Lime,Rs./kg,100.00,130.00,22 April 2025
Red Onion (Local),Rs./kg,275.00,265.00,22 April 2025
Red Onion (lmp),Rs./kg,300.00,283.00,22 April 2025
Big Onion (Local),Rs./kg,n.a.,n.a.,22 April 2025
Big Onion (Imp),Rs./kg,103.00,101.00,22 April 2025
Potato (Local),Rs./kg,297.00,293.00,22 April 2025
Potato (Imp),Rs./kg,152.00,156.00,22 April 2025
Dried Chilli (Imp),Rs./kg,550.00,550.00,22 April 2025
Coconut (Avg.),Rs./Nut,170.00,170.00,22 April 2025
Coconut oil,Rs./Ltr,777.00,777.00,22 April 2025
Red Dhal,Rs./kg,260.00,260.00,22 April 2025
Sugar (White),Rs./kg,218.00,216.00,22 April 2025
Egg (White),Rs./Each,23.00,23.00,22 April 2025
Katta (Imp),Rs./kg,"1,550.00","1,550.00",22 April 2025
Sprat (Imp),Rs./kg,850.00,850.00,22 April 2025
Banana (Sour),Rs./kg,100.00,100.00,22 April 2025
Papaw,Rs./kg,100.00,100.00,22 April 2025
Pineapple,Rs./kg,n.a.,n.a.,22 April 2025
Apple (Imp),Rs./Each,200.00,200.00,22 April 2025
Orange (Imp),Rs./Each,165.00,180.00,22 April 2025
Samba,Rs./kg,235.00,235.00,22 April 2025
Nadu,Rs./kg,225.00,225.00,22 April 2025
Kekulu (White),Rs./kg,215.00,215.00,22 April 2025
Kekulu (Red),Rs./kg,215.00,215.00,22 April 2025
Ponni Samba (Imp),Rs./kg,225.00,225.00,22 April 2025
Nadu (Imp),Rs./kg,213.00,213.00,22 April 2025
Kekulu (White) (Imp),Rs./kg,208.00,208.00,22 April 2025
Kelawalla,Rs./kg,"1,800.00","1,600.00",22 April 2025
Thalapath,Rs./kg,"1,700.00","1,700.00",22 April 2025
Balaya,Rs./kg,"1,300.00","1,200.00",22 April 2025
Paraw,Rs./kg,"1,300.00","1,400.00",22 April 2025
Salaya,Rs./kg,450.00,450.00,22 April 2025
Hurulla,Rs./kg,900.00,"1,200.00",22 April 2025
Linna,Rs./kg,"1,100.00","1,100.00",22 April 2025
